keywords,노출수,클릭수,ratio,period
0505웹팩스,3,0,0,2021-02-01
0505웹팩스,3,0,0,2021-03-01
0505웹팩스,8,0,0,2021-04-01
0505웹팩스,3,1,0,2021-05-01
0505웹팩스,6,0,0,2021-06-01
0505웹팩스,1,0,0,2021-07-01
0505유플러스,2,0,0,2021-02-01
0505유플러스,15,4,0,2021-03-01
0505유플러스,6,0,0,2021-04-01
0505유플러스,4,0,0,2021-05-01
0505유플러스,5,1,0,2021-06-01
0505유플러스,5,0,0,2021-07-01
0505유플러스,9,0,0,2021-08-01
0505유플러스,2,0,0,2021-10-01
0505유플러스,2,0,0,2021-11-01
0505유플러스,7,0,0,2021-12-01
0505유플러스,15,1,0,2022-01-01
0505유플러스,8,0,0,2022-02-01
0505유플러스,16,0,0,2022-03-01
0505유플러스,6,0,0,2022-04-01
0505유플러스,9,1,0,2022-05-01
0505유플러스,11,0,0,2022-06-01
0505유플러스,12,1,0,2022-07-01
0505유플러스,7,2,0,2022-08-01
0505유플러스,4,0,0,2022-09-01
0505유플러스,1,0,0,2022-10-01
0505유플러스,7,0,0,2022-11-01
0505유플러스,9,0,0,2022-12-01
0505유플러스팩스,2,0,0,2021-02-01
0505유플러스팩스,5,0,0,2021-03-01
0505유플러스팩스,1,0,0,2021-04-01
0505유플러스팩스,8,0,0,2021-05-01
0505유플러스팩스,6,0,0,2021-06-01
0505유플러스팩스,1,0,0,2021-07-01
0505유플러스팩스,1,0,0,2021-08-01
0505유플러스팩스,2,1,0,2021-10-01
0505유플러스팩스,2,0,0,2021-11-01
0505유플러스팩스,1,0,0,2021-12-01
0505유플러스팩스,2,0,0,2022-01-01
0505유플러스팩스,1,0,0,2022-03-01
0505유플러스팩스,1,0,0,2022-04-01
0505유플러스팩스,6,0,0,2022-05-01
0505유플러스팩스,8,0,0,2022-06-01
0505유플러스팩스,2,0,0,2022-07-01
0505유플러스팩스,4,0,0,2022-08-01
0505유플러스팩스,1,0,0,2022-09-01
0505유플러스팩스,2,0,0,2022-10-01
0505유플러스팩스,1,0,0,2022-11-01
0505유플러스팩스,2,0,0,2022-12-01
0505인터넷전화,4,0,0,2021-04-01
0505인터넷전화,8,0,0,2021-05-01
0505인터넷전화,3,0,0,2021-06-01
0505인터넷전화,6,0,0,2021-07-01
0505인터넷전화,5,0,0,2021-08-01
0505인터넷전화,1,0,0,2021-09-01
0505인터넷전화,4,2,0,2021-10-01
0505인터넷전화,2,0,0,2021-11-01
0505인터넷전화,4,0,0,2021-12-01
0505인터넷전화,2,0,0,2022-01-01
0505인터넷전화,4,0,0,2022-02-01
0505인터넷전화,3,0,0,2022-03-01
0505인터넷전화,2,0,0,2022-04-01
0505인터넷전화,2,0,0,2022-05-01
0505인터넷전화,2,0,0,2022-06-01
0505인터넷전화,3,1,0,2022-07-01
0505인터넷전화,6,1,0,2022-08-01
0505인터넷전화,4,0,0,2022-09-01
0505인터넷전화,9,1,0,2022-11-01
0505인터넷전화,2,0,0,2022-12-01
0505인터넷팩스,1016,6,0,2021-02-01
0505인터넷팩스,3164,10,0,2021-03-01
0505인터넷팩스,3824,9,0,2021-04-01
0505인터넷팩스,2286,2,0,2021-05-01
0505인터넷팩스,2021,6,0,2021-06-01
0505인터넷팩스,2023,12,1,2021-07-01
0505인터넷팩스,1631,10,0,2021-08-01
0505인터넷팩스,1381,7,0,2021-09-01
0505인터넷팩스,1476,5,0,2021-10-01
0505인터넷팩스,1702,10,0,2021-11-01
0505인터넷팩스,1813,5,0,2021-12-01
0505인터넷팩스,1783,7,0,2022-01-01
0505인터넷팩스,1358,7,0,2022-02-01
0505인터넷팩스,1763,5,0,2022-03-01
0505인터넷팩스,1601,2,0,2022-04-01
0505인터넷팩스,2411,6,0,2022-05-01
0505인터넷팩스,2088,16,0,2022-06-01
0505인터넷팩스,1517,13,0,2022-07-01
0505인터넷팩스,1424,15,0,2022-08-01
0505인터넷팩스,1131,9,0,2022-09-01
0505인터넷팩스,1047,5,0,2022-10-01
0505인터넷팩스,1132,10,0,2022-11-01
0505인터넷팩스,1077,7,0,2022-12-01
0505전화,21,0,0,2021-02-01
0505전화,59,0,0,2021-03-01
0505전화,52,0,0,2021-04-01
0505전화,48,0,0,2021-05-01
0505전화,37,0,0,2021-06-01
0505전화,45,0,0,2021-07-01
0505전화,38,3,0,2021-08-01
0505전화,37,3,0,2021-09-01
0505전화,30,0,0,2021-10-01
0505전화,29,0,0,2021-11-01
0505전화,47,0,0,2021-12-01
0505전화,50,0,0,2022-01-01
